id_venta;fecha_venta;id_empleado;antiguedad_vendedor;id_cliente;nombre_cliente;email_cliente;genero_cliente;edad_cliente;ciudad_cliente;region_cliente;canal_venta;producto;categoria_producto;precio_unitario;cantidad;descuento_pct;monto_total
1;2023-01-02;50;0;254;María González Alfaro;cliente254@mail.cl;Hombre;50.0;Temuco;La Araucanía;Web;Maquillaje;Belleza;15000;3;0.0;45000.0
2;2023-01-03;13;0;102;Vania Evelyn Leyton García;cliente102@mail.cl;Hombre;32.0;Talcahuano;Biobío;App;Lavadora;Electrohogar;700000;2;0.05;1330000.0
3;2023-01-04;68;2;196;Darwin Ramón Saavedra Pino;cliente196@mail.cl;Hombre;42.0;Santiago;;App;Lavadora;;700000;2;0.05;1330000.0
4;2023-01-05;60;1;65;Manuel Rodríguez;cliente65@mail.cl;Hombre;47.0;Valparaíso;Valparaíso;Tienda;Perfume;Belleza;35000;2;0.0;70000.0
5;2023-01-06;11;0;218;Francisco Raúl Guerrero-Romero Sánchez;cliente218@mail.cl;Mujer;35.0;Antofagasta;Antofagasta;Tienda;Maquillaje;Belleza;15000;1;0.1;13500.0
6;2023-01-07;14;0;202;Héctor Ramírez;cliente202@mail.cl;Mujer;44.0;Santiago;;Web;Notebook;;750000;3;0.1;2025000.0
7;2023-01-08;17;0;160;Mónica Araya Álvarez;cliente160@mail.cl;Mujer;45.0;Santiago;;Web;Refrigerador;;800000;2;0.1;1440000.0
8;2023-01-09;57;3;242;Camila Florencia Parra Muñoz;cliente242@mail.cl;Mujer;36.0;Concepción;Biobío;Web;Notebook;Tecnología;750000;1;0.05;712500.0
9;2023-01-10;60;1;255;Ximena Susana Medina Duarte;cliente255@mail.cl;Hombre;19.0;Valparaíso;Valparaíso;App;Pantalón;Vestuario;25000;2;0.1;45000.0
10;2023-01-11;6;2;35;Melania Jessica Urrutia Palacios;cliente35@mail.cl;Mujer;47.0;Concepción;Biobío;Tienda;Perfume;;35000;3;0.0;105000.0
11;2023-01-12;57;3;136;Maritza Thiare Mora Miranda;cliente136@mail.cl;Mujer;56.0;Concepción;;Web;TV;Electrohogar;650000;2;0.0;1300000.0
12;2023-01-13;43;0;50;Jorge Joaquín Sánchez Leiva;cliente50@mail.cl;Hombre;18.0;Santiago;Región Metropolitana;Web;Notebook;Tecnología;750000;3;0.1;2025000.0
13;2023-01-14;11;0;81;Joaquín Jaime Segura Parra;cliente81@mail.cl;Mujer;35.0;Antofagasta;;Web;Lavadora;;700000;2;0.1;1260000.0
14;2023-01-15;19;5;189;Gloria Lidia García Toledo;cliente189@mail.cl;Mujer;27.0;Temuco;;Web;Smartphone;;450000;1;0.1;405000.0
15;2023-01-16;49;1;67;Francisca Valenzuela Pavez;cliente67@mail.cl;Hombre;37.0;Antofagasta;;Tienda;TV;;650000;3;0.05;1852500.0
16;2023-01-17;18;1;269;José Patricio Valenzuela Estay;cliente269@mail.cl;Mujer;32.0;Talcahuano;Biobío;Web;Smartphone;Tecnología;450000;3;0.0;1350000.0
17;2023-01-18;21;5;207;Eduardo René Valenzuela Venegas;cliente207@mail.cl;Mujer;44.0;Puerto Montt;Los Lagos;Web;Lavadora;;700000;2;0.0;1400000.0
18;2023-01-19;54;9;234;Sebastián Hormazábal Sepúlveda;cliente234@mail.cl;Mujer;30.0;Talcahuano;Biobío;Tienda;TV;Electrohogar;650000;2;0.0;1300000.0
19;2023-01-20;6;2;39;Pablo Franco Saldías Ruiz;cliente39@mail.cl;Hombre;22.0;Concepción;;App;Notebook;Tecnología;750000;1;0.1;675000.0
20;2023-01-21;46;5;224;Lorenza Ramírez Espinoza;cliente224@mail.cl;Hombre;18.0;La Serena;Coquimbo;Tienda;Perfume;;35000;3;0.1;94500.0
21;2023-01-22;18;1;172;Manuel Candia Garrido;cliente172@mail.cl;Hombre;28.0;Talcahuano;;Web;Maquillaje;;15000;1;0.0;15000.0
22;2023-01-23;4;3;40;Elizabeth Meléndez Pacheco;cliente40@mail.cl;Hombre;40.0;Concepción;Biobío;Tienda;Perfume;Belleza;35000;3;0.0;105000.0
23;2023-01-24;16;3;232;Miguel Araya Segura;cliente232@mail.cl;Hombre;40.0;Temuco;La Araucanía;Tienda;Maquillaje;;15000;1;0.05;14250.0
24;2023-01-25;4;3;23;Brayan Amaro Araya Valenzuela;cliente23@mail.cl;Mujer;38.0;Concepción;Biobío;Tienda;Perfume;Belleza;35000;3;0.05;99750.0
25;2023-01-26;52;0;132;Jorge Rafael Riquelme Vargas;cliente132@mail.cl;Mujer;38.0;Talcahuano;;App;Pantalón;;25000;3;0.0;75000.0
26;2023-01-27;49;1;114;Anahí Araya;cliente114@mail.cl;Mujer;67.0;Antofagasta;Antofagasta;Tienda;Zapatillas;;55000;1;0.1;49500.0
27;2023-01-28;36;4;252;Mauricio Astorga;cliente252@mail.cl;Mujer;49.0;Rancagua;;App;Polera;Vestuario;12000;1;0.0;12000.0
28;2023-01-29;70;6;220;Génesis Macarena Venegas Sepúlveda;cliente220@mail.cl;Hombre;38.0;Talcahuano;Biobío;Tienda;Notebook;;750000;2;0.0;1500000.0
