id_venta;fecha_venta;id_empleado;antiguedad_vendedor;id_cliente;nombre_cliente;email_cliente;genero_cliente;edad_cliente;ciudad_cliente;region_cliente;canal_venta;producto;categoria_producto;precio_unitario;cantidad;descuento_pct
1;02/01/2023;50;0;254;María González Alfaro;cliente254@mail.cl;Hombre;50.0;Temuco;La Araucanía;Web;Maquillaje;Belleza;15000;3;0.0
2;03/01/2023;13;0;102;Vania Evelyn Leyton García;cliente102@mail.cl;Hombre;32.0;Talcahuano;Biobío;App;Lavadora;Electrohogar;700000;2;0.05
3;04/01/2023;68;2;196;Darwin Ramón Saavedra Pino;cliente196@mail.cl;Hombre;42.0;Santiago;;App;Lavadora;;700000;2;0.05
4;05/01/2023;60;1;65;Manuel Rodríguez;cliente65@mail.cl;Hombre;47.0;Valparaíso;Valparaíso;Tienda;Perfume;Belleza;35000;2;
5;06/01/2023;11;0;218;Francisco Raúl Guerrero-Romero Sánchez;cliente218@mail.cl;Mujer;35.0;Antofagasta;Antofagasta;Tienda;Maquillaje;Belleza;15000;1;0.1
6;07/01/2023;14;0;202;Héctor Ramírez;cliente202@mail.cl;Mujer;44.0;Santiago;;Web;Notebook;;750000;3;0.1
7;08/01/2023;17;0;160;Mónica Araya Álvarez;cliente160@mail.cl;Mujer;45.0;Santiago;;Web;Refrigerador;;800000;2;0.1
8;09/01/2023;57;3;242;Camila Florencia Parra Muñoz;cliente242@mail.cl;Mujer;36.0;Concepción;Biobío;Web;Notebook;Tecnología;750000;1;0.05
9;10/01/2023;60;1;255;Ximena Susana Medina Duarte;cliente255@mail.cl;Hombre;19.0;Valparaíso;Valparaíso;App;Pantalón;Vestuario;25000;2;0.1
10;11/01/2023;6;2;35;Melania Jessica Urrutia Palacios;cliente35@mail.cl;Mujer;47.0;Concepción;Biobío;Tienda;Perfume;;35000;3;0.0
11;12/01/2023;57;3;136;Maritza Thiare Mora Miranda;cliente136@mail.cl;Mujer;56.0;Concepción;;Web;TV;Electrohogar;650000;2;
12;13/01/2023;43;0;50;Jorge Joaquín Sánchez Leiva;cliente50@mail.cl;Hombre;18.0;Santiago;RM;Web;Notebook;Tecnología;750000;3;0.1
13;14/01/2023;11;0;81;Joaquín Jaime Segura Parra;cliente81@mail.cl;Mujer;35.0;Antofagasta;;Web;Lavadora;;700000;2;0.1
14;15/01/2023;19;5;189;Gloria Lidia García Toledo;cliente189@mail.cl;Mujer;27.0;Temuco;;Web;Smartphone;;450000;1;0.1
15;16/01/2023;49;1;67;Francisca Valenzuela Pavez;cliente67@mail.cl;Hombre;37.0;Antofagasta;;Tienda;TV;;650000;3;0.05
16;17/01/2023;18;1;269;José Patricio Valenzuela Estay;cliente269@mail.cl;Mujer;32.0;Talcahuano;Biobío;Web;Smartphone;Tecnología;450000;3;
17;18/01/2023;21;5;207;Eduardo René Valenzuela Venegas;cliente207@mail.cl;Mujer;44.0;Puerto Montt;Los Lagos;Web;Lavadora;;700000;2;0.0
18;19/01/2023;54;9;234;Sebastián Hormazábal Sepúlveda;cliente234@mail.cl;Mujer;30.0;Talcahuano;Biobío;Tienda;TV;Electrohogar;650000;2;0.0
